date,9/9/15
serial_number,Z4D1XXJX
model,ST9320325AS
capacity_bytes,6001180000000.0
failure,1
smart_1_normalized,120.0
smart_1_raw,244108778.0
smart_2_normalized,252.0
smart_2_raw,0.0
smart_3_normalized,100.0
smart_3_raw,2866.0
smart_4_normalized,100.0
smart_4_raw,1173.0
smart_5_normalized,252.0
smart_5_raw,64784.0
smart_7_normalized,252.0
smart_7_raw,59833400000000.0
smart_8_normalized,252.0
smart_8_raw,0.0
smart_9_normalized,100.0
smart_9_raw,52623.0
smart_10_normalized,252.0
smart_10_raw,0.0
smart_11_normalized,252.0
smart_11_raw,727.0
smart_12_normalized,100.0
smart_12_raw,322.0
smart_13_normalized,
smart_13_raw,
smart_15_normalized,
smart_15_raw,
smart_22_normalized,
smart_22_raw,
smart_183_normalized,100.0
smart_183_raw,21060.0
smart_184_normalized,100.0
smart_184_raw,18.0
smart_187_normalized,100.0
smart_187_raw,5880.0
smart_188_normalized,100.0
smart_188_raw,10196400000000.0
smart_189_normalized,100.0
smart_189_raw,8741.0
smart_190_normalized,85.0
smart_190_raw,42.0
smart_191_normalized,252.0
smart_191_raw,19774.0
smart_192_normalized,252.0
smart_192_raw,1167.0
smart_193_normalized,100.0
smart_193_raw,574599.0
smart_194_normalized,64.0
smart_194_raw,42.0
smart_195_normalized,100.0
smart_195_raw,281471000000000.0
smart_196_normalized,252.0
smart_196_raw,0.0
smart_197_normalized,252.0
smart_197_raw,45264.0
smart_198_normalized,252.0
smart_198_raw,45264.0
smart_199_normalized,200.0
smart_199_raw,3598.0
smart_200_normalized,100.0
smart_200_raw,147890.0
smart_201_normalized,
smart_201_raw,
smart_220_normalized,
smart_220_raw,
smart_222_normalized,
smart_222_raw,
smart_223_normalized,252.0
smart_223_raw,727.0
smart_224_normalized,
smart_224_raw,
smart_225_normalized,100.0
smart_225_raw,346417.0
smart_226_normalized,
smart_226_raw,
smart_240_normalized,100.0
smart_240_raw,281273000000000.0
smart_241_normalized,100.0
smart_241_raw,98661000000000.0
smart_242_normalized,100.0
smart_242_raw,280918000000000.0
smart_250_normalized,1.0
smart_250_raw,150715100.0
smart_251_normalized,1.0
smart_251_raw,292883180.0
smart_252_normalized,100.0
smart_252_raw,136518966.0
smart_254_normalized,100.0
smart_254_raw,0.0
smart_255_normalized,
smart_255_raw,
